"SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"PC","5091","ENSG00000173599","pyruvate carboxylase"
"PDE3B","5140","ENSG00000152270","phosphodiesterase 3B"
"PDE1B","5153","ENSG00000123360","phosphodiesterase 1B"
"PDHB","5162","ENSG00000168291","pyruvate dehydrogenase E1 subunit beta"
"ABCB1","5243","ENSG00000085563","ATP binding cassette subfamily B member 1"
"PLCB3","5331","ENSG00000149782","phospholipase C beta 3"
"POLR2A","5430","ENSG00000181222","RNA polymerase II subunit A"
"POLR2B","5431","ENSG00000047315","RNA polymerase II subunit B"
"POMC","5443","ENSG00000115138","proopiomelanocortin"
"POR","5447","ENSG00000127948","cytochrome p450 oxidoreductase"
"PPIB","5479","ENSG00000166794","peptidylprolyl isomerase B"
"PPP3CA","5530","ENSG00000138814","protein phosphatase 3 catalytic subunit alpha"
"PPP3R1","5534","ENSG00000221823","protein phosphatase 3 regulatory subunit B, alpha"
"PRIM1","5557","ENSG00000198056","DNA primase subunit 1"
"PRIM2","5558","ENSG00000146143","DNA primase subunit 2"
"PTAFR","5724","ENSG00000169403","platelet activating factor receptor"
"PTGDR","5729","ENSG00000168229","prostaglandin D2 receptor"
"PTGDS","5730","ENSG00000107317","prostaglandin D2 synthase"
"PTGER2","5732","ENSG00000125384","prostaglandin E receptor 2"
"PTGER4","5734","ENSG00000171522","prostaglandin E receptor 4"
"PTGIR","5739","ENSG00000160013","prostaglandin I2 receptor"
"PTGS1","5742","ENSG00000095303","prostaglandin-endoperoxide synthase 1"
"PTGS2","5743","ENSG00000073756","prostaglandin-endoperoxide synthase 2"
"RARA","5914","ENSG00000131759","retinoic acid receptor alpha"
"RARG","5916","ENSG00000172819","retinoic acid receptor gamma"
"RPL3","6122","ENSG00000100316","ribosomal protein L3"
"RPL4","6124","ENSG00000174444","ribosomal protein L4"
"RPL5","6125","ENSG00000122406","ribosomal protein L5"
"RPL6","6128","ENSG00000089009","ribosomal protein L6"
"RPL7","6129","ENSG00000147604","ribosomal protein L7"
"RPL7A","6130","ENSG00000148303","ribosomal protein L7a"
"RPL8","6132","ENSG00000161016","ribosomal protein L8"
"RPL11","6135","ENSG00000142676","ribosomal protein L11"
"RPL12","6136","ENSG00000197958","ribosomal protein L12"
"RPL13","6137","ENSG00000167526","ribosomal protein L13"
"RPL23","9349","ENSG00000125691","ribosomal protein L23"
"RPL18","6141","ENSG00000063177","ribosomal protein L18"
"RPL18A","6142","ENSG00000105640","ribosomal protein L18a"
"RPL19","6143","ENSG00000108298","ribosomal protein L19"
"RPL21","6144","ENSG00000122026","ribosomal protein L21"
"RPL22","6146","ENSG00000116251","ribosomal protein L22"
"RPL23A","6147","ENSG00000198242","ribosomal protein L23a"
"RPL17","6139","ENSG00000265681","ribosomal protein L17"
"RPL24","6152","ENSG00000114391","ribosomal protein L24"
"RPL26","6154","ENSG00000161970","ribosomal protein L26"
"RPL27","6155","ENSG00000131469","ribosomal protein L27"
"RPL30","6156","ENSG00000156482","ribosomal protein L30"
"RPL27A","6157","ENSG00000166441","ribosomal protein L27a"
"RPL28","6158","ENSG00000108107","ribosomal protein L28"
"RPL29","6159","ENSG00000162244","ribosomal protein L29"
"RPL31","6160","ENSG00000071082","ribosomal protein L31"
"RPL32","6161","ENSG00000144713","ribosomal protein L32"
"RPL34","6164","ENSG00000109475","ribosomal protein L34"
"RPL35A","6165","ENSG00000182899","ribosomal protein L35a"
"RPL37","6167","ENSG00000145592","ribosomal protein L37"
"RPL37A","6168","ENSG00000197756","ribosomal protein L37a"
"RPL38","6169","ENSG00000172809","ribosomal protein L38"
"RPL39","6170","ENSG00000198918","ribosomal protein L39"
"ATP2B1","490","ENSG00000070961","ATPase plasma membrane Ca2+ transporting 1"
"PRKCSH","5589","ENSG00000130175","PRKCSH beta subunit of glucosidase II"
"REEP3","221035","ENSG00000165476","receptor accessory protein 3"
"BLOC1S2","282991","ENSG00000196072","biogenesis of lysosomal organelles complex 1 subunit 2"
"NKIRAS2","28511","ENSG00000168256","NFKB inhibitor interacting Ras like 2"
"ATP2B4","493","ENSG00000058668","ATPase plasma membrane Ca2+ transporting 4"
"TSR3","115939","ENSG00000007520","TSR3 ribosome maturation factor"
"ZNF429","353088","ENSG00000197013","zinc finger protein 429"
"TBC1D3C","414060","ENSG00000278299","TBC1 domain family member 3C"
"SMAD5","4090","ENSG00000113658","SMAD family member 5"
"STX16","8675","ENSG00000124222","syntaxin 16"
"C16orf87","388272","ENSG00000155330","chromosome 16 open reading frame 87"
"CCL3L3","414062","ENSG00000276085","C-C motif chemokine ligand 3 like 3"
"SLC35E4","339665","ENSG00000100036","solute carrier family 35 member E4"
"UBE2W","55284","ENSG00000104343","ubiquitin conjugating enzyme E2 W"
"ZDHHC13","54503","ENSG00000177054","zinc finger DHHC-type palmitoyltransferase 13"
"PTER","9317","ENSG00000165983","phosphotriesterase related"
"ATP2C1","27032","ENSG00000017260","ATPase secretory pathway Ca2+ transporting 1"
"NDUFV3","4731","ENSG00000160194","NADH:ubiquinone oxidoreductase subunit V3"
"HDGFL2","84717","ENSG00000167674","HDGF like 2"
"UGP2","7360","ENSG00000169764","UDP-glucose pyrophosphorylase 2"
"TAGLN","6876","ENSG00000149591","transgelin"
"RORC","6097","ENSG00000143365","RAR related orphan receptor C"
"GRB10","2887","ENSG00000106070","growth factor receptor bound protein 10"
"IDNK","414328","ENSG00000148057","IDNK gluconokinase"
"GALK2","2585","ENSG00000156958","galactokinase 2"
"GGA1","26088","ENSG00000100083","golgi associated, gamma adaptin ear containing, ARF binding protein 1"
"TIMM50","92609","ENSG00000105197","translocase of inner mitochondrial membrane 50"
"MED8","112950","ENSG00000159479","mediator complex subunit 8"
"ETFRF1","144363","ENSG00000205707","electron transfer flavoprotein regulatory factor 1"
"ZNF425","155054","ENSG00000204947","zinc finger protein 425"
"ZNF782","158431","ENSG00000196597","zinc finger protein 782"
"SPOPL","339745","ENSG00000144228","speckle type BTB/POZ protein like"
"ZNF470","388566","ENSG00000197016","zinc finger protein 470"
"ARHGEF37","389337","ENSG00000183111","Rho guanine nucleotide exchange factor 37"
"MAP3K15","389840","ENSG00000180815","mitogen-activated protein kinase kinase kinase 15"
"MED11","400569","ENSG00000161920","mediator complex subunit 11"
"C4orf3",NA,NA,NA
"LCN10","414332","ENSG00000187922","lipocalin 10"
"COP1","64326","ENSG00000143207","COP1 E3 ubiquitin ligase"
"TOMM5","401505","ENSG00000175768","translocase of outer mitochondrial membrane 5"
"DENND6B","414918","ENSG00000205593","DENN domain containing 6B"
"C8orf82","414919","ENSG00000213563","chromosome 8 open reading frame 82"
"PIM3","415116","ENSG00000198355","Pim-3 proto-oncogene, serine/threonine kinase"
"RUNX1","861","ENSG00000159216","RUNX family transcription factor 1"
"TTC3","7267","ENSG00000182670","tetratricopeptide repeat domain 3"
"UBASH3A","53347","ENSG00000160185","ubiquitin associated and SH3 domain containing A"
"PPARA","5465","ENSG00000186951","peroxisome proliferator activated receptor alpha"
"ATP5F1A","498","ENSG00000152234","ATP synthase F1 subunit alpha"
"AFAP1L2","84632","ENSG00000169129","actin filament associated protein 1 like 2"
"OR2W3","343171","ENSG00000238243","olfactory receptor family 2 subfamily W member 3"
"ATP5F1C","509","ENSG00000165629","ATP synthase F1 subunit gamma"
"PLEKHA1","59338","ENSG00000107679","pleckstrin homology domain containing A1"
"ATP5F1D","513","ENSG00000099624","ATP synthase F1 subunit delta"
"ATE1","11101","ENSG00000107669","arginyltransferase 1"
"USP16","10600","ENSG00000156256","ubiquitin specific peptidase 16"
"EXOSC10","5394","ENSG00000171824","exosome component 10"
"RPL36AL","6166","ENSG00000165502","ribosomal protein L36a like"
"GMPR2","51292","ENSG00000100938","guanosine monophosphate reductase 2"
"NT5C3A","51251","ENSG00000122643","5'-nucleotidase, cytosolic IIIA"
"HCFC1R1","54985","ENSG00000103145","host cell factor C1 regulator 1"
"PUS1","80324","ENSG00000177192","pseudouridine synthase 1"
"PFKL","5211","ENSG00000141959","phosphofructokinase, liver type"
"ATP5MC1","516","ENSG00000159199","ATP synthase membrane subunit c locus 1"
"C4B","721","ENSG00000224389","complement C4B (Chido/Rodgers blood group)"
"ECHDC1","55862","ENSG00000093144","ethylmalonyl-CoA decarboxylase 1"
"PHETA2","150368","ENSG00000177096","PH domain containing endocytic trafficking adaptor 2"
"AFTPH","54812","ENSG00000119844","aftiphilin"
"ANAPC11","51529","ENSG00000141552","anaphase promoting complex subunit 11"
"ARL6IP4","51329","ENSG00000182196","ARF like GTPase 6 interacting protein 4"
"LCLAT1","253558","ENSG00000172954","lysocardiolipin acyltransferase 1"
"ATP5MC3","518","ENSG00000154518","ATP synthase membrane subunit c locus 3"
"ZFYVE27","118813","ENSG00000155256","zinc finger FYVE-type containing 27"
"EPSTI1","94240","ENSG00000133106","epithelial stromal interaction 1"
"MARCHF8","220972","ENSG00000165406","membrane associated ring-CH-type finger 8"
"FCGR2B","2213","ENSG00000072694","Fc gamma receptor IIb"
"WLS","79971","ENSG00000116729","Wnt ligand secretion mediator"
"GATA3","2625","ENSG00000107485","GATA binding protein 3"
"GOLGA7","51125","ENSG00000147533","golgin A7"
"NFU1","27247","ENSG00000169599","NFU1 iron-sulfur cluster scaffold"
"SFR1","119392","ENSG00000156384","SWI5 dependent homologous recombination repair protein 1"
"DNAJB12","54788","ENSG00000148719","DnaJ heat shock protein family (Hsp40) member B12"
"MCTP1","79772","ENSG00000175471","multiple C2 and transmembrane domain containing 1"
"SMC4","10051","ENSG00000113810","structural maintenance of chromosomes 4"
"PDE4DIP","9659","ENSG00000178104","phosphodiesterase 4D interacting protein"
"RAB11FIP1","80223","ENSG00000156675","RAB11 family interacting protein 1"
"ZNF787","126208","ENSG00000142409","zinc finger protein 787"
"MYL4","4635","ENSG00000198336","myosin light chain 4"
"ZNF280D","54816","ENSG00000137871","zinc finger protein 280D"
"DERPC","113455421","ENSG00000286140","DERPC proline and glycine rich nuclear protein"
"ANXA2","302","ENSG00000182718","annexin A2"
"BTBD7","55727","ENSG00000011114","BTB domain containing 7"
"DERL3","91319","ENSG00000099958","derlin 3"
"THOC5","8563","ENSG00000100296","THO complex subunit 5"
"CBY1","25776","ENSG00000100211","chibby 1, beta catenin antagonist"
"GPATCH8","23131","ENSG00000186566","G-patch domain containing 8"
"PTRH1","138428","ENSG00000187024","peptidyl-tRNA hydrolase 1 homolog"
"KCTD11","147040","ENSG00000213859","potassium channel tetramerization domain containing 11"
"AP3S1","1176","ENSG00000177879","adaptor related protein complex 3 subunit sigma 1"
"TWISTNB",NA,NA,NA
"RPLP0","6175","ENSG00000089157","ribosomal protein lateral stalk subunit P0"
"CACNA1I","8911","ENSG00000100346","calcium voltage-gated channel subunit alpha1 I"
"SMAD2","4087","ENSG00000175387","SMAD family member 2"
"LDLRAD4","753","ENSG00000168675","low density lipoprotein receptor class A domain containing 4"
"C11orf49",NA,NA,NA
"LEPR","3953","ENSG00000116678","leptin receptor"
"HMGXB4","10042","ENSG00000100281","HMG-box containing 4"
"UQCR10","29796","ENSG00000184076","ubiquinol-cytochrome c reductase, complex III subunit X"
"ZMAT5","55954","ENSG00000100319","zinc finger matrin-type 5"
"LY6G6F","259215","ENSG00000204424","lymphocyte antigen 6 family member G6F"
"BRPF1","7862","ENSG00000156983","bromodomain and PHD finger containing 1"
"ATP5PF","522","ENSG00000154723","ATP synthase peripheral stalk subunit F6"
"RREB1","6239","ENSG00000124782","ras responsive element binding protein 1"
"MTFP1","51537","ENSG00000242114","mitochondrial fission process 1"
"OSBPL8","114882","ENSG00000091039","oxysterol binding protein like 8"
"ATP5MF","9551","ENSG00000241468","ATP synthase membrane subunit f"
"RECQL5","9400","ENSG00000108469","RecQ like helicase 5"
"GLE1","2733","ENSG00000119392","GLE1 RNA export mediator"
"STRADA","92335","ENSG00000266173","STE20 related adaptor alpha"
"RABL2B","11158","ENSG00000079974","RAB, member of RAS oncogene family like 2B"
"ERLIN2","11160","ENSG00000147475","ER lipid raft associated 2"
"MGLL","11343","ENSG00000074416","monoglyceride lipase"
"GTF2IRD2B","389524","ENSG00000174428","GTF2I repeat domain containing 2B"
"SNU13","4809","ENSG00000100138","small nuclear ribonucleoprotein 13"
"TARP","445347","ENSG00000289746","TCR gamma alternate reading frame protein"
"BICD2","23299","ENSG00000185963","BICD cargo adaptor 2"
"SMARCD3","6604","ENSG00000082014","SWI/SNF related BAF chromatin remodeling complex subunit D3"
"DMAC2L","27109","ENSG00000125375","distal membrane arm assembly component 2 like"
"HNRNPD","3184","ENSG00000138668","heterogeneous nuclear ribonucleoprotein D"
"TRIM6","117854","ENSG00000121236","tripartite motif containing 6"
"TRIM34","53840","ENSG00000258659","tripartite motif containing 34"
"MED15","51586","ENSG00000099917","mediator complex subunit 15"
"MANBAL","63905","ENSG00000101363","mannosidase beta like"
"EVI2A","2123","ENSG00000126860","ecotropic viral integration site 2A"
"PARP3","10039","ENSG00000041880","poly(ADP-ribose) polymerase family member 3"
"HBM","3042","ENSG00000206177","hemoglobin subunit mu"
"BMF","90427","ENSG00000104081","Bcl2 modifying factor"
"OGDH","4967","ENSG00000105953","oxoglutarate dehydrogenase"
"CAPNS1","826","ENSG00000126247","calpain small subunit 1"
"RPLP1","6176","ENSG00000137818","ribosomal protein lateral stalk subunit P1"
"NOMO2","283820","ENSG00000185164","NODAL modulator 2"
"PALM2-AKAP2",NA,NA,NA
"NOMO3","408050","ENSG00000103226","NODAL modulator 3"
"GRK6","2870","ENSG00000198055","G protein-coupled receptor kinase 6"
"ALG11","440138","ENSG00000253710","ALG11 alpha-1,2-mannosyltransferase"
"QSOX1","5768","ENSG00000116260","quiescin sulfhydryl oxidase 1"
"ZNF813","126017","ENSG00000198346","zinc finger protein 813"
"ZNF740","283337","ENSG00000139651","zinc finger protein 740"
"FCRL6","343413","ENSG00000181036","Fc receptor like 6"
"C7orf61",NA,NA,NA
"RNASEK","440400","ENSG00000219200","ribonuclease K"
"FCGR1B",NA,NA,NA
"FGFRL1","53834","ENSG00000127418","fibroblast growth factor receptor like 1"
"CLEC2D","29121","ENSG00000069493","C-type lectin domain family 2 member D"
"PLA2G6","8398","ENSG00000184381","phospholipase A2 group VI"
"METRNL","284207","ENSG00000176845","meteorin like, glial cell differentiation regulator"
"ANKRD34B","340120","ENSG00000189127","ankyrin repeat domain 34B"
"ST8SIA6","338596","ENSG00000148488","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
"NCK2","8440","ENSG00000071051","NCK adaptor protein 2"
"RPLP2","6181","ENSG00000177600","ribosomal protein lateral stalk subunit P2"
"SP140","11262","ENSG00000079263","SP140 nuclear body protein"
"TRIM37","4591","ENSG00000108395","tripartite motif containing 37"
"PKP2","5318","ENSG00000057294","plakophilin 2"
"CHD3","1107","ENSG00000170004","chromodomain helicase DNA binding protein 3"
"PSRC1","84722","ENSG00000134222","proline and serine rich coiled-coil 1"
"SREBF1","6720","ENSG00000072310","sterol regulatory element binding transcription factor 1"
"MAGED1","9500","ENSG00000179222","MAGE family member D1"
"HNRNPL","3191","ENSG00000104824","heterogeneous nuclear ribonucleoprotein L"
"RGS10","6001","ENSG00000148908","regulator of G protein signaling 10"
"PRR13","54458","ENSG00000205352","proline rich 13"
"DNM2","1785","ENSG00000079805","dynamin 2"
"KDM2B","84678","ENSG00000089094","lysine demethylase 2B"
"LRSAM1","90678","ENSG00000148356","leucine rich repeat and sterile alpha motif containing 1"
"PLAUR","5329","ENSG00000011422","plasminogen activator, urokinase receptor"
"ACTR2","10097","ENSG00000138071","actin related protein 2"
"YPEL2","388403","ENSG00000175155","yippee like 2"
"CACNA1H","8912","ENSG00000196557","calcium voltage-gated channel subunit alpha1 H"
"NEURL4","84461","ENSG00000215041","neuralized E3 ubiquitin protein ligase 4"
"ZWINT","11130","ENSG00000122952","ZW10 interacting kinetochore protein"
"MARCHF2","51257","ENSG00000099785","membrane associated ring-CH-type finger 2"
"NFKBIZ","64332","ENSG00000144802","NFKB inhibitor zeta"
"PKP4","8502","ENSG00000144283","plakophilin 4"
"RHBDF2","79651","ENSG00000129667","rhomboid 5 homolog 2"
"CPM","1368","ENSG00000135678","carboxypeptidase M"
"EDA","1896","ENSG00000158813","ectodysplasin A"
"CHEK2","11200","ENSG00000183765","checkpoint kinase 2"
"FPR2","2358","ENSG00000171049","formyl peptide receptor 2"
"VPS54","51542","ENSG00000143952","VPS54 subunit of GARP complex"
"NUMB","8650","ENSG00000133961","NUMB endocytic adaptor protein"
"CACNB4","785","ENSG00000182389","calcium voltage-gated channel auxiliary subunit beta 4"
"WASHC2A","387680","ENSG00000099290","WASH complex subunit 2A"
"CHMP3","51652","ENSG00000115561","charged multivesicular body protein 3"
"SUMO1","7341","ENSG00000116030","small ubiquitin like modifier 1"
"SUMO2","6613","ENSG00000188612","small ubiquitin like modifier 2"
"ZNF835","90485","ENSG00000127903","zinc finger protein 835"
"ZNF780B","163131","ENSG00000128000","zinc finger protein 780B"
"RYK","6259","ENSG00000163785","receptor like tyrosine kinase"
"ERBB2","2064","ENSG00000141736","erb-b2 receptor tyrosine kinase 2"
"IP6K2","51447","ENSG00000068745","inositol hexakisphosphate kinase 2"
"ATP7B","540","ENSG00000123191","ATPase copper transporting beta"
"JMJD8","339123","ENSG00000161999","jumonji domain containing 8"
"RPS3","6188","ENSG00000149273","ribosomal protein S3"
"HMCES","56941","ENSG00000183624","5-hydroxymethylcytosine binding, ES cell specific"
"YBEY","54059","ENSG00000182362","ybeY metalloendoribonuclease"
"IP6K1","9807","ENSG00000176095","inositol hexakisphosphate kinase 1"
"ERBIN","55914","ENSG00000112851","erbb2 interacting protein"
"DIPK1A","388650","ENSG00000154511","divergent protein kinase domain 1A"
"LRRC37A2","474170","ENSG00000238083","leucine rich repeat containing 37 member A2"
"TSPAN17","26262","ENSG00000048140","tetraspanin 17"
"MAPKAP1","79109","ENSG00000119487","MAPK associated protein 1"
"WDR33","55339","ENSG00000136709","WD repeat domain 33"
"ARHGAP17","55114","ENSG00000140750","Rho GTPase activating protein 17"
"GTDC1","79712","ENSG00000121964","glycosyltransferase like domain containing 1"
"RAB37","326624","ENSG00000172794","RAB37, member RAS oncogene family"
"TCEAL1","9338","ENSG00000172465","transcription elongation factor A like 1"
